	SCOC_LOM_01	SCOC_LOM_02	SCOC_LOM_03	SCOC_LOM_07	SCOC_LOM_08	SCOC_LOM_09	SCOC_LOM_12	SCOC_LOM_14	SCOC_LOM_15	SCOC_LOM_17	SCOC_LOM_20	SCOC_LOM_21	SCOC_LOM_23	SCOC_LOM_24	SCOC_LOM_25	SCOC_LOM_27	SCOC_LOM_28	SCOC_LOM_29	SCOC_LOM_30	SCOC_LOM_31	SCOC_LOM_32	SCOC_LOM_34	SCOC_LOM_35	SCOC_LOM_36	SCOC_LOM_37	SCOC_LOM_38	SCOC_LOM_39	SCOC_LOM_41	SCOC_LOM_43	SCOC_LOM_44	SCOC_LOM_47	SCOC_LOM_48	SCOC_LOM_49	SCOC_LOM_50	SCOC_LOM_51	SCOC_LOM_52	SCOC_LOM_53	SCOC_LOM_54	SCOC_LOM_55	SCOC_LOM_58	SCOC_LOM_60	SCOC_LOM_61	SCOC_LOM_62	SCOC_LOM_63	SCOC_LOM_64	SCOC_LOM_67	SCOC_LOM_70	SCOC_LOM_71	SCOC_LOM_72	SCOC_LOM_73	SCOC_LOM_C014	SCOC_LOM_C015	SCOC_LOM_C060	SCOC_LOM_C206	SCOC_LOM_C213	SCOC_LOM_C216	SCOC_LOM_C219	SCOC_LOM_C231	SCOC_LOM_C250	SCOC_LOM_C291	SCOC_LOM_C300	SCOC_LOM_C302	SCOC_LOM_C303	SCOC_LOM_C305	SCOC_LOM_C306	SCOC_LOM_C307	SCOC_LOM_C308	SCOC_LOM_C310	SCOC_LOM_C311	SCOC_LOM_C312	SCOC_LOM_C314
SCOC_LOM_35	-0.016017	-0.076515	0.014232	0.152631	0.036959	0.104979	0.165477	0.225975	-0.137013	0.044481	0.014232	0.014232	0.044481	0.07473	0.135228	0.195726	0.135228	0.195726	0.165477	0.135228	0.165477	0.225975																																																	
SCOC_LOM_36	0.316722	0.104979	0.104979	0.185262	0.202177	0.225975	-0.046266	0.135228	0.195726	0.316722	0.37722	0.07473	0.256224	0.07473	0.346971	0.07473	0.286473	0.225975	-0.197511	0.044481	0.07473	0.195726	0.286473																																																
SCOC_LOM_37	0.185262	-0.141053	0.022104	0.217894	-0.04565	0.152631	-0.043159	-0.010527	0.119999	0.152631	0.152631	-0.043159	0.152631	0.087367	0.054736	0.087367	0.087367	0.087367	-0.108422	-0.010527	0.054736	0.250525	0.054736	-0.043159																																															
SCOC_LOM_38	0.256224	0.07473	0.07473	0.185262	-0.04565	0.044481	0.165477	-0.046266	0.104979	0.286473	0.225975	-0.016017	0.104979	0.195726	-0.106764	0.135228	-0.046266	-0.016017	0.104979	0.195726	0.165477	0.316722	0.256224	0.195726	0.087367																																														
SCOC_LOM_39	0.165477	-0.076515	0.135228	0.022104	0.160872	0.225975	0.104979	0.165477	0.07473	0.286473	0.07473	0.07473	0.104979	0.195726	0.104979	0.044481	0.135228	0.014232	0.135228	0.135228	0.135228	0.07473	0.07473	0.165477	0.119999	0.195726																																													
SCOC_LOM_41	0.195726	0.256224	0.225975	0.217894	0.284786	0.195726	0.195726	0.104979	0.165477	0.256224	0.407469	0.256224	0.256224	0.165477	0.256224	0.07473	0.165477	0.044481	0.165477	0.104979	0.346971	0.316722	0.225975	0.225975	0.119999	0.195726	0.165477																																												
SCOC_LOM_43	0.165477	-0.046266	0.07473	-0.043159	-0.004346	0.044481	-0.167262	0.07473	-0.016017	0.165477	0.044481	0.07473	-0.016017	0.135228	-0.046266	-0.016017	-0.106764	0.165477	-0.046266	-0.016017	0.135228	0.135228	0.165477	-0.016017	-0.010527	0.165477	0.104979	0.225975																																											
SCOC_LOM_44	0.094584	0.028519	0.028519	0.146099	0.013426	0.028519	0.193681	0.094584	0.127616	0.193681	0.061551	0.028519	0.127616	0.127616	-0.004514	0.160648	0.028519	-0.103611	0.094584	0.094584	0.127616	0.259746	0.127616	0.259746	0.038416	-0.037546	0.028519	0.127616	0.094584																																										
SCOC_LOM_47	0.194491	0.087647	-0.072621	0.034224	-0.072621	-0.179466	-0.179466	-0.126043	-0.072621	0.141069	0.087647	-0.019198	-0.126043	-0.072621	0.087647	0.034224	-0.126043	0.087647	-0.126043	-0.179466	-0.072621	-0.072621	0.087647	-0.072621	-0.019198	-0.019198	0.087647	0.194491	-0.126043	-0.060661																																									
SCOC_LOM_48	0.014232	0.104979	-0.137013	0.217894	0.078263	-0.016017	0.165477	0.165477	-0.076515	0.104979	0.135228	0.135228	0.104979	0.014232	0.225975	0.195726	0.044481	0.225975	0.044481	0.165477	0.135228	0.316722	-0.076515	0.135228	0.054736	0.225975	0.225975	0.195726	0.07473	0.094584	-0.126043																																								
SCOC_LOM_49	0.104979	-0.106764	0.135228	-0.010527	0.036959	0.104979	-0.016017	0.104979	0.165477	0.256224	0.07473	0.104979	0.104979	0.044481	0.135228	-0.016017	0.104979	-0.016017	-0.046266	-0.046266	-0.046266	-0.22776	0.044481	0.044481	-0.07579	0.225975	-0.016017	0.165477	-0.016017	0.127616	-0.072621	0.104979																																							
SCOC_LOM_50	-0.016017	0.135228	0.044481	0.119999	0.119568	0.044481	0.044481	0.104979	-0.046266	0.135228	0.07473	0.104979	0.07473	0.044481	0.165477	0.014232	0.014232	0.044481	0.135228	0.07473	0.014232	0.225975	-0.016017	0.104979	0.087367	0.135228	0.014232	0.104979	0.044481	0.061551	-0.126043	-0.016017	-0.016017																																						
SCOC_LOM_51	0.195726	0.044481	0.135228	0.217894	0.119568	0.195726	-0.046266	0.135228	0.104979	0.256224	0.195726	0.104979	0.104979	0.044481	0.195726	0.07473	0.195726	0.165477	-0.197511	-0.076515	0.165477	0.135228	0.135228	-0.046266	0.022104	0.256224	0.104979	0.165477	0.014232	0.259746	-0.019198	0.225975	-0.167262	0.07473																																					
SCOC_LOM_52	0.044481	-0.016017	0.135228	0.119999	0.036959	0.07473	0.07473	0.135228	0.135228	0.286473	0.165477	0.104979	0.135228	0.135228	0.195726	-0.016017	0.104979	-0.137013	0.135228	0.104979	0.135228	-0.046266	0.135228	0.225975	0.087367	0.104979	-0.016017	0.165477	0.07473	0.061551	0.034224	0.195726	-0.016017	0.165477	0.225975																																				
SCOC_LOM_53	-0.016017	-0.076515	0.014232	0.087367	-0.04565	0.07473	0.135228	0.104979	-0.106764	0.014232	-0.046266	-0.106764	-0.016017	0.07473	-0.016017	0.135228	-0.016017	0.225975	0.165477	0.165477	0.07473	0.256224	-0.137013	0.286473	0.022104	0.135228	0.044481	0.286473	0.044481	0.094584	-0.019198	-0.046266	0.135228	0.014232	0.225975	0.135228																																			
SCOC_LOM_54	0.104979	0.044481	0.014232	0.119999	0.119568	-0.046266	-0.016017	0.104979	-0.016017	-0.046266	0.225975	0.044481	0.014232	-0.106764	0.256224	-0.076515	0.135228	0.104979	0.014232	0.014232	-0.016017	0.044481	0.014232	-0.016017	0.054736	0.195726	0.07473	0.014232	0.044481	0.193681	-0.179466	0.014232	0.014232	-0.016017	0.044481	0.135228	0.044481																																		
SCOC_LOM_55	0.135228	-0.046266	0.104979	0.119999	-0.086955	-0.046266	0.07473	-0.106764	0.014232	0.104979	0.135228	-0.016017	0.044481	0.07473	0.104979	0.044481	0.014232	0.014232	-0.106764	0.044481	0.225975	0.165477	0.104979	0.195726	0.119999	0.07473	0.044481	0.044481	0.104979	0.094584	-0.126043	0.104979	-0.016017	0.014232	-0.046266	0.07473	0.014232	0.014232																																	
SCOC_LOM_58	0.014232	-0.076515	0.104979	-0.173685	0.119568	0.044481	0.044481	0.014232	0.014232	-0.167262	0.044481	0.044481	-0.076515	0.07473	0.07473	-0.076515	0.165477	0.014232	-0.076515	0.044481	0.165477	-0.046266	-0.016017	0.135228	0.152631	0.195726	-0.046266	0.07473	0.014232	0.127616	0.034224	0.195726	-0.076515	0.07473	-0.046266	0.07473	0.014232	-0.076515	-0.137013																																
SCOC_LOM_60	0.225975	0.07473	0.044481	0.217894	-0.004346	0.044481	0.286473	0.07473	0.165477	0.104979	0.316722	0.07473	0.165477	0.165477	0.165477	0.135228	0.165477	0.07473	0.165477	0.316722	0.195726	0.316722	0.256224	0.195726	0.054736	-0.016017	0.256224	0.07473	0.316722	0.127616	0.141069	0.225975	0.165477	0.225975	0.286473	0.165477	0.225975	-0.016017	0.044481	0.135228																															
SCOC_LOM_61	0.286473	0.07473	0.07473	-0.043159	-0.128259	0.135228	-0.046266	0.014232	0.044481	0.225975	0.256224	0.07473	-0.046266	0.195726	0.225975	0.195726	0.135228	0.195726	0.014232	0.104979	0.165477	0.256224	0.225975	0.165477	0.217894	0.165477	0.135228	0.225975	0.07473	0.193681	-0.072621	0.225975	0.165477	0.225975	0.044481	0.165477	0.195726	0.104979	-0.076515	0.014232	0.165477																														
SCOC_LOM_62	0.104979	-0.046266	-0.046266	0.022104	0.078263	-0.016017	0.195726	-0.016017	-0.076515	0.07473	0.104979	0.014232	0.044481	0.07473	0.044481	0.014232	0.014232	0.165477	0.165477	0.165477	0.195726	0.225975	0.135228	0.256224	0.119999	0.104979	0.07473	0.135228	0.044481	0.160648	-0.019198	0.135228	0.135228	0.135228	0.286473	0.104979	-0.016017	-0.016017	-0.016017	0.014232	-0.137013	0.104979																													
SCOC_LOM_63	-0.046266	-0.046266	-0.046266	-0.010527	-0.04565	-0.137013	0.07473	-0.046266	-0.076515	0.044481	-0.016017	-0.106764	-0.137013	-0.046266	0.014232	0.044481	-0.046266	0.07473	-0.016017	0.044481	-0.016017	0.225975	0.044481	0.104979	-0.010527	0.014232	0.104979	0.165477	0.044481	-0.004514	-0.126043	-0.076515	0.135228	-0.076515	0.195726	0.044481	-0.076515	0.014232	-0.076515	0.014232	0.07473	0.044481	-0.016017																												
SCOC_LOM_64	0.104979	0.135228	0.165477	0.119999	0.202177	0.07473	0.135228	0.135228	0.014232	0.165477	0.256224	0.195726	0.044481	0.135228	0.165477	0.135228	0.135228	0.165477	0.07473	0.165477	0.346971	0.195726	0.135228	0.165477	0.217894	0.195726	0.316722	-0.046266	0.07473	0.259746	0.087647	0.165477	0.07473	0.104979	-0.016017	0.225975	0.225975	0.07473	0.07473	-0.106764	0.165477	0.195726	0.195726	0.165477																											
SCOC_LOM_67	0.07473	0.104979	0.286473	0.087367	-0.004346	0.256224	0.135228	0.225975	0.165477	0.286473	0.225975	0.195726	0.044481	0.165477	0.225975	0.256224	0.195726	0.104979	0.135228	0.135228	0.07473	0.195726	0.225975	0.195726	-0.010527	0.165477	0.135228	0.104979	0.195726	0.160648	0.034224	0.346971	0.014232	0.07473	0.044481	0.104979	0.195726	0.104979	0.195726	0.165477	0.014232	0.165477	0.165477	0.07473	0.195726																										
SCOC_LOM_70	0.07473	0.044481	0.104979	0.054736	0.119568	0.014232	0.044481	0.104979	0.044481	0.195726	0.014232	0.044481	0.07473	0.044481	0.044481	-0.106764	-0.046266	0.044481	0.135228	0.044481	0.014232	0.044481	0.014232	0.104979	0.087367	0.104979	0.07473	0.225975	-0.016017	0.028519	-0.179466	0.135228	-0.076515	-0.106764	0.044481	0.014232	0.044481	0.07473	0.104979	0.044481	0.165477	0.225975	0.104979	0.014232	0.104979	0.104979																									
SCOC_LOM_71	0.225975	0.07473	0.256224	0.250525	0.243482	0.135228	0.104979	0.195726	0.256224	0.195726	0.195726	0.104979	0.286473	0.135228	0.225975	0.07473	0.256224	0.104979	0.135228	0.256224	0.195726	0.135228	0.165477	0.135228	-0.010527	0.195726	0.135228	-0.016017	0.165477	0.259746	0.087647	0.346971	0.07473	0.195726	0.165477	0.104979	0.225975	-0.046266	0.135228	0.014232	0.014232	0.256224	0.104979	0.225975	0.07473	0.104979	0.135228																								
SCOC_LOM_72	0.07473	-0.106764	-0.046266	-0.010527	-0.04565	0.07473	0.044481	0.135228	-0.137013	0.165477	-0.076515	0.07473	-0.016017	0.044481	0.07473	0.044481	0.044481	0.104979	0.165477	0.07473	0.104979	0.316722	-0.046266	0.135228	-0.043159	0.135228	0.014232	0.07473	0.044481	0.127616	0.034224	0.07473	0.07473	-0.016017	0.104979	0.165477	-0.076515	-0.016017	0.135228	-0.046266	0.135228	0.165477	-0.076515	-0.106764	-0.016017	0.104979	0.044481	0.07473																							
SCOC_LOM_73	-0.076515	0.044481	0.044481	0.022104	0.119568	-0.106764	0.044481	-0.016017	-0.016017	-0.046266	0.044481	-0.016017	0.044481	0.104979	0.044481	-0.076515	0.104979	0.104979	0.07473	0.165477	0.195726	0.165477	0.07473	0.165477	0.152631	0.104979	0.104979	0.165477	0.044481	0.061551	-0.019198	0.165477	0.104979	0.044481	0.135228	0.07473	0.014232	0.014232	0.044481	-0.167262	0.135228	0.07473	0.014232	-0.046266	-0.016017	0.135228	-0.016017	0.104979	0.014232																						
SCOC_LOM_C014	0.165477	-0.106764	0.135228	0.054736	-0.004346	0.135228	-0.016017	0.044481	0.07473	0.165477	0.104979	0.014232	0.104979	0.256224	0.07473	0.104979	0.07473	0.07473	0.07473	0.104979	0.225975	0.135228	0.104979	0.07473	0.087367	0.135228	0.07473	0.195726	-0.106764	0.127616	0.087647	0.256224	0.07473	0.104979	0.135228	0.014232	0.014232	0.104979	0.07473	-0.016017	0.256224	0.135228	0.135228	0.135228	0.044481	0.135228	0.044481	0.044481	0.07473	0.014232																					
SCOC_LOM_C015	0.176116	0.209921	0.14231	0.199379	0.175279	0.176116	0.14231	0.277533	0.108504	0.311339	0.176116	0.243727	0.277533	0.14231	0.345145	0.007087	0.108504	0.345145	0.243727	0.243727	0.243727	0.37895	0.176116	0.14231	0.16257	0.37895	0.007087	0.14231	0.108504	0.246407	-0.040697	0.040892	0.007087	-0.094331	0.14231	0.243727	0.108504	0.108504	0.209921	0.14231	0.277533	0.243727	0.14231	0.14231	0.108504	0.209921	0.040892	0.243727	-0.094331	0.108504	0.209921																				
SCOC_LOM_C060	0.104979	-0.046266	-0.046266	0.054736	-0.004346	-0.046266	0.07473	-0.106764	-0.106764	0.135228	0.104979	-0.046266	-0.106764	0.135228	0.07473	0.07473	-0.016017	0.225975	0.104979	0.07473	0.135228	0.256224	0.07473	0.195726	0.022104	0.044481	0.135228	0.135228	0.014232	0.127616	-0.019198	0.014232	0.104979	0.135228	0.225975	0.135228	-0.076515	0.014232	0.044481	0.07473	0.104979	0.07473	-0.046266	-0.016017	0.044481	0.195726	0.135228	0.07473	-0.046266	0.044481	-0.046266	0.040892																			
SCOC_LOM_C206	-0.227688	-0.009838	0.044625	0.044625	0.170777	-0.173225	0.208012	-0.009838	-0.009838	0.044625	-0.0643	-0.0643	-0.009838	0.044625	-0.118763	-0.118763	-0.009838	-0.009838	-0.009838	-0.0643	0.099087	-0.009838	-0.009838	0.262475	0.044625	0.099087	0.044625	-0.009838	0.099087	-0.009838	0.121621	0.099087	-0.009838	0.099087	0.15355	-0.173225	-0.009838	0.044625	0.099087	-0.0643	0.15355	0.15355	0.044625	-0.0643	-0.009838	-0.009838	-0.118763	-0.118763	-0.0643	-0.173225	-0.009838	0.104717	-0.118763																		
SCOC_LOM_C213	-0.016017	-0.046266	-0.046266	-0.010527	-0.04565	0.07473	-0.046266	-0.016017	-0.137013	0.286473	-0.076515	0.044481	-0.137013	0.07473	0.104979	-0.016017	0.044481	0.165477	-0.076515	-0.076515	-0.016017	0.135228	0.044481	0.07473	-0.010527	0.165477	0.014232	0.195726	-0.076515	0.127616	-0.072621	0.07473	-0.137013	-0.016017	-0.076515	0.044481	0.044481	0.014232	0.07473	-0.016017	0.286473	0.044481	0.104979	-0.076515	0.135228	0.07473	-0.046266	0.225975	-0.046266	0.07473	0.135228	0.074698	0.044481	-0.009838																	
SCOC_LOM_C216	0.238464	-0.078021	0.080221	0.132969	0.058949	0.343959	0.080221	0.238464	-0.078021	0.396706	-0.025274	0.132969	0.132969	0.343959	0.185716	0.291211	0.291211	-0.025274	0.185716	0.080221	0.185716	0.132969	-0.078021	0.238464	0.185716	0.396706	-0.078021	0.343959	0.185716	0.132969	0.313192	0.185716	0.027474	0.291211	0.027474	-0.025274	0.238464	0.343959	0.185716	0.132969	0.502201	0.027474	0.343959	0.238464	0.291211	0.132969	0.238464	0.238464	0.080221	0.291211	-0.025274	0.468992	0.238464	0.207155	0.080221																
SCOC_LOM_C219	0.195112	-0.050222	-0.009333	0.113334	0.276841	0.113334	-0.009333	0.113334	-0.091111	0.154223	0.113334	-0.050222	0.072445	0.113334	0.072445	0.072445	0.195112	0.072445	0.113334	0.031556	0.072445	0.154223	-0.009333	0.154223	0.195112	0.113334	-0.091111	0.399556	0.072445	0.031556	-0.021151	0.236001	0.195112	0.113334	0.113334	0.031556	0.031556	0.154223	0.113334	0.031556	0.358667	-0.009333	0.113334	0.113334	0.276889	0.276889	0.031556	0.195112	0.072445	-0.009333	-0.009333	0.358032	0.236001	0.15355	0.113334	-0.242853															
SCOC_LOM_C231	-0.040531	-0.224319	0.051363	-0.224319	-0.108597	0.005416	0.051363	-0.040531	-0.132425	-0.040531	0.005416	-0.132425	-0.178372	0.051363	-0.086478	-0.040531	-0.132425	-0.224319	0.09731	-0.040531	-0.132425	-0.040531	-0.040531	0.235151	0.005416	0.051363	-0.040531	0.051363	0.051363	-0.086478	0.109894	0.143257	-0.132425	0.005416	0.143257	-0.178372	-0.132425	0.09731	-0.086478	-0.132425	-0.040531	-0.040531	-0.132425	-0.086478	0.005416	-0.086478	-0.086478	0.09731	-0.178372	-0.040531	-0.086478	0.101553	-0.086478	-0.118763	0.005416	-0.025274	0.044625														
SCOC_LOM_C250	0.191205	0.138036	0.403884	0.138036	0.469859	-0.021473	0.297545	0.138036	0.297545	0.031696	0.350714	0.191205	0.244375	0.191205	0.191205	-0.021473	0.244375	0.031696	0.191205	0.244375	0.191205	-0.074643	0.084866	0.457054	0.297545	0.350714	0.138036	0.031696	0.297545	0.191205	-0.064033	0.244375	0.031696	0.244375	0.350714	0.031696	0.244375	-0.021473	0.084866	-0.074643	0.244375	0.297545	0.191205	0.138036	0.191205	0.403884	0.138036	0.084866	0.350714	-0.180982	0.138036	0.608976	0.244375	0.019321	0.350714	0.374904	0.343896	0.084866													
SCOC_LOM_C291	0.09731	0.005416	0.051363	0.09731	0.217572	0.051363	0.005416	-0.040531	0.005416	0.051363	0.189204	-0.040531	0.005416	0.005416	0.005416	-0.178372	0.005416	0.005416	0.09731	0.005416	-0.086478	0.051363	0.051363	0.051363	-0.040531	0.143257	0.051363	0.143257	0.005416	0.005416	-0.093404	0.09731	-0.040531	0.005416	0.143257	0.005416	0.005416	0.005416	0.189204	0.09731	0.235151	0.235151	0.189204	0.005416	0.143257	0.143257	-0.316213	0.189204	0.09731	-0.086478	0.005416	0.210927	0.051363	-0.0643	0.005416	0.291211	0.208012	-0.040531	-0.021473												
SCOC_LOM_C300	0.079038	-0.127762	-0.003682	0.09731	0.021871	-0.169122	-0.086402	-0.045042	-0.003682	-0.003682	0.120397	-0.169122	-0.003682	-0.086402	0.037678	-0.086402	0.079038	-0.045042	-0.045042	0.079038	-0.127762	-0.086402	0.079038	-0.003682	-0.040531	0.079038	-0.003682	0.203117	-0.045042	0.120397	-0.195053	0.037678	-0.045042	0.037678	0.120397	-0.045042	-0.086402	-0.086402	0.037678	-0.045042	0.161757	0.037678	0.079038	-0.086402	0.120397	0.244477	-0.086402	-0.003682	-0.003682	-0.169122	0.037678	0.176336	-0.045042	-0.0643	-0.045042	0.238464	0.099087	-0.040531	-0.021473	-0.178372											
SCOC_LOM_C302	-0.045042	-0.003682	-0.003682	0.189204	0.087105	0.203117	0.203117	0.244477	-0.003682	0.285837	-0.045042	0.079038	0.203117	-0.003682	0.203117	0.161757	0.161757	0.244477	0.203117	0.285837	0.079038	0.285837	-0.003682	0.244477	0.09731	0.368557	-0.086402	0.409917	0.161757	0.244477	0.008245	-0.045042	-0.003682	-0.045042	0.161757	0.120397	-0.045042	0.120397	0.244477	0.161757	0.451276	0.203117	0.120397	0.079038	0.409917	0.203117	0.203117	0.327197	-0.045042	0.120397	0.244477	0.031406	0.120397	0.099087	-0.086402	-0.025274	0.15355	0.09731	0.457054	0.189204	0.037678										
SCOC_LOM_C303	0.238464	0.027474	0.238464	0.238464	-0.020901	0.238464	0.132969	0.080221	0.238464	-0.078021	0.343959	0.080221	0.080221	0.132969	-0.025274	0.027474	0.238464	0.132969	0.080221	-0.025274	0.080221	0.185716	0.132969	0.185716	-0.078021	0.291211	0.185716	0.132969	0.080221	0.132969	0.211543	0.238464	-0.078021	0.185716	-0.025274	0.185716	0.132969	-0.025274	0.185716	0.027474	0.185716	0.396706	0.396706	0.238464	0.132969	0.027474	0.132969	0.080221	0.238464	0.080221	-0.025274	0.339793	0.080221	0.078581	0.132969	0.343959	0.400015	0.080221	0.062438	-0.078021	0.132969	0.238464									
SCOC_LOM_C305	0.174982	0.174982	0.174982	0.014391	0.173665	0.006236	0.073734	0.073734	0.107484	0.141233	0.309978	0.141233	0.039985	0.141233	0.107484	0.039985	0.141233	0.006236	0.006236	0.073734	0.174982	0.006236	0.276229	0.276229	0.234845	0.107484	0.107484	-0.027513	0.141233	0.207774	0.023212	0.309978	0.073734	0.174982	0.107484	0.006236	0.276229	0.039985	0.039985	-0.095011	0.073734	0.073734	0.107484	0.141233	0.006236	0.073734	0.039985	0.107484	0.141233	0.006236	0.141233	0.188279	0.141233	-0.118763	0.073734	0.291211	0.213337	-0.040531	0.084866	0.235151	-0.003682	0.327197	0.291211								
SCOC_LOM_C306	-0.018654	0.029481	-0.114923	-0.0643	0.086929	0.029481	0.077616	-0.163058	-0.066788	-0.114923	0.22202	0.029481	-0.114923	0.12575	0.077616	-0.018654	0.270154	0.029481	0.029481	0.077616	0.12575	-0.018654	0.173885	0.173885	0.15355	0.077616	0.173885	-0.018654	0.077616	0.270154	0.277027	0.270154	0.077616	0.22202	0.22202	-0.018654	0.029481	-0.018654	0.077616	-0.163058	0.12575	0.029481	-0.018654	0.077616	-0.018654	0.12575	0.22202	0.029481	0.077616	-0.163058	-0.018654	0.309399	-0.163058	-0.118763	0.029481	0.335729	0.262475	-0.0643	0.019321	0.099087	-0.066788	0.22202	0.078581	-0.163058							
SCOC_LOM_C307	-0.169122	0.161757	-0.045042	0.189204	0.282806	0.037678	0.244477	0.079038	-0.086402	0.161757	0.120397	0.120397	-0.003682	-0.086402	0.244477	0.037678	0.244477	0.161757	0.244477	0.120397	-0.003682	0.120397	0.079038	0.285837	0.189204	0.285837	0.120397	0.079038	0.244477	0.244477	-0.093404	0.037678	0.120397	0.037678	0.327197	0.037678	0.120397	-0.045042	0.285837	0.120397	0.285837	0.285837	0.037678	-0.003682	0.161757	0.161757	0.203117	0.161757	0.037678	-0.003682	0.285837	0.176336	-0.045042	-0.118763	-0.045042	0.185716	0.262475	0.09731	0.191205	0.09731	0.037678	-0.127762	0.132969	0.120397	-0.066788						
